case_group,addr1,addr2,is_match,quality,category,notes
same_entity_xds,"Hong Kong Special Administrative Region, 16 Shing Yi Street, East Sun Industrial Centre, Block A, 3rd Floor, Workshop 57, Kowloon","Workshop 57, 3rd Floor, Block A, East Sun Industrial Centre, No.16 Shing Yi Street, Kowloon, Hong Kong",true,STRONG,reordered_fields,"Same building, floor, block, and workshop number, just reordered. [ua_nsdc_sanctions/eu_journal_sanctions]"
same_entity_xds,"Al Moustarat, Mali","In Khalil, Mali",false,MEDIUM,different_city,Different named locations within Mali. [ar_repet/ch_seco_sanctions]
same_entity_xds,"Office 510, 43 Schmidta Street, 183038 Murmansk,","Office 510, 43 Schmidta Street, 183038 Murmansk : RUSSIE",true,STRONG,country_added,Identical address; B just adds country name Russia. [fr_tresor_gels_avoir/mc_fund_freezes]
same_entity_xds,"228 S. MAIN STREET, CRESCENT CITY, FL 32112","228 South Main Street, Crescent City, FL, 32112",true,STRONG,abbreviation,"Identical address, only abbreviation differences. [us_nj_med_exclusions/us_ca_med_exclusions]"
same_entity_xds,"9898 Bissonnet St Ste 422, Houston, Texas, TX, 77036","9898 BISSONNET ST, STE 422, HOUSTON, TX 77036",true,STRONG,punctuation_only,"Identical address, minor formatting differences only. [brightquery/us_hhs_exclusions]"
same_entity_xds,"Room 818, Pothonggang Hotel, Ansan-Dong, Pyongchon district, Pyongyang, KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF","Room 818 Pothonggang Hotel, Ansan-Dong, Pyongchon District, Pyongyang, North Korea",true,STRONG,punctuation_only,"Identical address, minor punctuation and country naming differences. [eu_fsf/gb_coh_disqualified]"
same_entity_xds,"Myasnitskaya Ulitsa, 39 стр.1, Moscow, 101000, Russia","УЛ. МЯСНИЦКАЯ Д.39 К.1, Г.МОСКВА, 107450",true,WEAK,translit_cyrillic,"Same street and building number, despite differing postal codes. [au_dfat_sanctions/ext_ru_egrul]"
same_entity_xds,"Per. Bolshoi Tolmachevskii D. 4, Str. 1, Pomeshch. 4/1, Moscow, 119017","PER. BOLSHOI TOLMACHEVSKII D. 4, STR. 1, POMESHCH. 4/1, Moscow, Russia, 119017",true,STRONG,punctuation_only,"Identical address, only country name added and formatting differs. [us_ofac_sdn/gb_fcdo_sanctions]"
same_entity_xds,"UL. KRASNOBOGATYRSKAYA, D. 6, STR. 6, ET 1 KOMN 23, MOSCOW, 107564","ul. Krasnobogatyrskaya, d. 6, str. 6, et 1 komn 23, Moscow, Russia, 107564",true,STRONG,punctuation_only,"Identical address, only country name added and formatting differences. [us_sam_exclusions/gb_fcdo_sanctions]"
same_entity_xds,"14645 SW 173rd St, Miami, Florida, FL, 33177","4100 Salzedo St Apt 804, CORAL GABLES, FLORIDA, 33146, United States",false,STRONG,different_street,Different streets and cities within Florida. [brightquery/permid]
same_entity_xds,"Votkinskoe highway 170, Izhevsk","Ш ВОТКИНСКОЕ Д. 170, Г ИЖЕВСК, УДМУРТСКАЯ РЕСПУБЛИКА, 426039",true,STRONG,translit_cyrillic,"Same street, house number, and city; B adds region and postcode. [fr_tresor_gels_avoir/ext_ru_egrul]"
same_entity_xds,"Varshavskoe 28A, Moscow, RUSSIAN FEDERATION","Vn.Ter.G. Munitsipal'nyi Okrug Nagornyi, Sh Varshavskoye, D. 28A, Etazh/Ofis 4/416, MOSCOW, MOSCOW, 117105, Russia",true,WEAK,subset,B adds floor/office details within same building at Varshavskoye 28A. [eu_fsf/permid]
same_entity_xds,"MIDCITY PLACE, 71 HIGH HOLBORN, LONDON WC1V 6BA, LND","MIDCITY PLACE 71 HIGH HOLBORN, WC1V 6BA LONDON",true,STRONG,punctuation_only,"Same building, street, postcode, and city; only formatting differs. [ext_gleif/ext_gb_coh_psc]"
same_entity_xds,GLOBE HOUSE FLOOR 5 23 KENNEDY AVENUE NICOSIA (LEFKOSIA) 1075 NICOSIA (LEFKOSIA) CYPRUS,"GLOBE HOUSE, Floor 5, Kennedy, 23, 1075, Λευκωσία, Κύπρος",true,STRONG,translit_cyrillic,"Same building, floor, street number and city; Greek vs English rendering. [iso9362_bic/ext_cy_companies]"
same_entity_xds,"18th Flr, 1803, Lodha Codename No 1, Mumbai - 400013, MH","18th Flr, 1803, Lodha Codename No 1, One Lodha Place Senapati Bapat Marg, Upper Worli, Maharashtra, Mumbai - 400013, Maharashtra",true,WEAK,subset,B adds street/area detail otherwise consistent with A's same building and postal code. [ext_gleif/us_ofac_sdn]
same_entity_xds,"Baconia S.A.R.L, Mahfouz Store Street, Pearl Building, Gf, Baabda, Lebanon","Mteferraa From Es Semrlnd, Beirut",false,MEDIUM,different_city,Baabda address vs. Beirut location; distinct places with no matching details. [gb_coh_disqualified/us_ofac_sdn]
same_entity_xds,"115035, город Москва, ул. Садовническая, д. 73, стр. 1",SADOVNICHESKAYA 73/1 MOSCOW 115035 RUSSIAN FEDERATION,true,STRONG,translit_cyrillic,"Same street, house 73 building 1, same city and postal code. [ru_cbr_banks/iso9362_bic]"
same_entity_xds,"Business Center 1, M Floor, The Meydan Hotel, Nad Al Sheba, DUBAI, DUBAI, United Arab Emirates","Business Center 1, M Floor, The Meydan Hotel, Nad Al Sheba, Dubai, United Arab Emirates",true,STRONG,punctuation_only,"Identical address, only case differences. [permid/ch_seco_sanctions]"
same_entity_xds,"D. 82 STR. 2 UL. SADOVNICHESKAYA, MOSCOW, 115035","Nab. Presnenskaya D. 10, pom II komn 8-59, Moscow, 123112",false,STRONG,different_street,Different streets (Sadovnicheskaya vs Presnenskaya) and postcodes. [us_sam_exclusions/us_ofac_cons]
same_entity_xds,224 AIRPORT PARKWAY SAN JOSE 95110 UNITED STATES OF AMERICA,"San Jose, California",true,WEAK,subset,"B only names city/state, consistent with A's full address. [iso9362_bic/us_fed_enforcements]"
same_entity_xds,"19 Znamenka St., Moscow, 119019","rue Znamenka 19, Moscou, Russie",true,STRONG,translation_cjk,"Same street, house number, and city; only language differs. [us_ofac_sdn/fr_tresor_gels_avoir]"
same_entity_xds,"127A Dhamazadei Road, Kamayut, Myanmar","127A Dhamazadei Road, Kamayut, Yangon, MYANMAR",true,WEAK,subset,"B adds Yangon city name, otherwise identical address. [ch_seco_sanctions/eu_travel_bans]"
same_entity_xds,"Dahian, Sa'dah Governorate","Dahyan, Sa’dah Governorate, Yemen",true,STRONG,translit_variant,"Same place name spelled differently, same governorate. [fr_tresor_gels_avoir/au_dfat_sanctions]"
same_entity_xds,"40th Building, Mosfilmovskaya Street, Moscow, RUSSIAN FEDERATION, 119285","УЛ. МОСФИЛЬМОВСКАЯ Д. 40, Г.МОСКВА, 119192",false,MEDIUM,unit_differs,Same street/building number but different postal codes (119285 vs 119192) suggest different locations. [eu_fsf/ext_ru_egrul]
same_entity_xds,"1289 Lennon Way, San Jose, CA","1289 LENNON WAY, SAN JOSE, CA 95125",true,WEAK,subset,Same street address; B adds zip code only. [us_ca_med_exclusions/us_hhs_exclusions]
same_entity_xds,"2 EAST RIVER DRIVE, WILLINGBORO, NJ 08046","2 EAST RIVER DR, WILLINGBORO, NJ 08046",true,STRONG,abbreviation,"Drive abbreviated as Dr, otherwise identical address. [us_nj_med_exclusions/us_hhs_exclusions]"
same_entity_xds,"London, United Kingdom","Україна, м. Львів",false,STRONG,different_city,London vs Lviv are entirely different cities and countries. [gb_fcdo_sanctions/ua_nsdc_sanctions]
same_entity_xds,"Pasir Putih Prison, Indonesia","Pasir Putih Prison, Nusa Kambangan Island, INDONESIA",true,WEAK,subset,"Same prison, B adds island location detail without contradiction. [un_sc_sanctions/eu_travel_bans]"
same_entity_xds,"Dumar Project, Area 11, Damascus, Syria","PO Box 11037, Damas",true,WEAK,subset,"Same city Damascus but different address details, no direct contradiction. [gb_fcdo_sanctions/fr_tresor_gels_avoir]"
same_entity_xds,"Room 818, Pothonggang Hotel, Ansan-1-Dong, Pyongchon district, Pyongyang, North Korea","Room 818, Pothonggang Hotel, Ansan-Dong, Pyongyang, North Korea",true,MEDIUM,abbreviation,"Same room, hotel, and district; minor dong name/level difference. [kp_rusi_reports/gb_fcdo_sanctions]"
same_entity_xds,"26 blvd 30-letia Pobedi, apt. 3, Melitopol, région de Zaporijjia, Ukraine","ZAPORIZHZHIA REGION, MELITOPOL",true,WEAK,subset,"B gives only region/city, consistent with A's fuller address. [mc_fund_freezes/us_sam_exclusions]"
same_entity_xds,"96-06-06 Flat Sri Kota, Bandar Tun Razak, 56100, Kuala Lumpur, Malaysia","96-06-06 Flat Sri Kota, Bandar Tun Razak, 56100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",true,STRONG,admin_division_added,Identical address; B just adds federal territory name. [ar_repet/ch_seco_sanctions]
same_entity_xds,"Barangay Tigib, Ayungon, Negros Oriental, Philippines","Barangay Tigib, Ayungon, Philippines",true,WEAK,subset,B omits province but matches barangay and municipality otherwise. [jp_mof_sanctions/ch_seco_sanctions]
same_entity_xds,"Floor 2, Ναυπλίου, 15, 3025, Λεμεσός, Κύπρος","Nafpliou, 15, Floor 2, 3025, Limassol, Cyprus",true,STRONG,translit_cyrillic,Greek script vs English transliteration of identical address. [ext_cy_companies/ua_nsdc_sanctions]
same_entity_xds,"Voroshilovskiy Prospekt 12/85-87/13, Rostov- on-Don, RUSSIAN FEDERATION","Voroshilovskiy Prospekt 12/85-87/13, Russian Federation",true,WEAK,subset,"Identical street and building number, B just omits city name. [eu_fsf/ch_seco_sanctions]"
same_entity_xds,"Per. Bolshoi Tolmachevskii D. 4, Str. 1 Pomeshch. 4/1, Moscow, Russia, 119017","ПЕР БОЛЬШОЙ ТОЛМАЧЁВСКИЙ Д. 4 СТР. 1, Г.МОСКВА, 119017",true,WEAK,subset,"Same street, house, building number; A adds room detail, minor subset. [gb_coh_disqualified/ext_ru_egrul]"
same_entity_xds,"Office 27, Tsvetnochnoye Str. 16, Moskovskaya Zastava Municipal Okrug, St Petersburg, Russia, 196006","ZASTAVSKAYA ST., N. 33, OFFICE 6A300, SAINT PETERSBURG, 196084",false,STRONG,different_street,"Different street names, house numbers, and office numbers in St Petersburg. [gb_coh_disqualified/us_sam_exclusions]"
same_entity_xds,"Korpus 1, ul. Stroiteley, dom 8, A/YA 128, MOSCOW, MOSCOW, 119311, Russia","УЛ СТАРТОВАЯ Д. 6 ЛИТЕРА Б, Г.САНКТ-ПЕТЕРБУРГ, 196210",false,STRONG,different_street,Different streets and cities: Stroiteley Moscow vs Startovaya Saint Petersburg. [permid/ext_ru_egrul]
same_entity_xds,"14, rue Kedyshko, apt. 11, Minsk","Belarus, Minsk, 38 Timoshenko St., apt. 198",false,STRONG,different_street,Different street names and apartment numbers in Minsk. [fr_tresor_gels_avoir/ch_seco_sanctions]
same_entity_xds,"Piazza Giovane Italia n.2, Varese","Piazza Giovane Italia n.2, Varese, Italy",true,STRONG,city_only,Identical address; B just adds country name. [us_ofac_sdn/bg_omnio_poi]
same_entity_xds,"191187, г. Санкт-Петербург, ул. Шпалерная, д.2/4, литер А",SHPALERNAYA STR. 2/4 LIT. A ST. PETERSBURG 191187 RUSSIAN FEDERATION,true,STRONG,translit_cyrillic,"Same street, house number, litera, city, and postcode. [ru_cbr_banks/iso9362_bic]"
same_entity_xds,"Al-Abbas Street, Karbala, Iraq","Al-Abbas Street Karbala Iraq, Al-Kadhumi Complex, Al-Harthia Baghdad Iraq",false,MEDIUM,different_city,B lists two separate sites; one in Baghdad differs from A's Karbala-only address. [ua_sfms_blacklist/za_fic_sanctions]
same_entity_xds,"1541 W 12th St # 2RR, Brooklyn, New York, NY, 11204","1541 W 12th Street #2RR, Brooklyn, NY 11204",true,STRONG,abbreviation,"Same address, abbreviations expanded and duplicate state omission. [brightquery/us_sam_exclusions]"
same_entity_xds,"77 27th Ave NW, Gig Harbor, WA 98335","77 27th Ave NW, Gig Harbor, Washington, WA, 98335",true,STRONG,abbreviation,Identical address; state given as abbreviation and full name. [us_sam_exclusions/brightquery]
same_entity_xds,"KARAISKAKI, 13, 3032 LIMASSOL","Καραισκάκη, 13, 3032, Λεμεσός, Κύπρος",true,STRONG,translit_greek,"Same street, number, postcode and city; Greek transliteration/translation. [us_sam_exclusions/ext_cy_companies]"
same_entity_xds,"535 MADISON AVENUE FLOOR 28 NEW YORK,NY NEW YORK,NY 10022 UNITED STATES OF AMERICA","New York, New York, USA",true,WEAK,subset,B lacks street details but matches city and state in A. [iso9362_bic/us_fed_enforcements]
same_entity_xds,"Number 4, Via Europa Paderno Ponchielli Cremona Italy","Number 4, Via Europa, Paderno Ponchielli, Italy",true,WEAK,subset,"Same address, B omits city name Cremona which is province context [za_fic_sanctions/ar_repet]"
same_entity_xds,"d. 1, ul. Industrialnaya Shelekhov Irtutsk 666033 Russia","Російська Федерація, 666033, Іркутська обл., м. Шелехов, вул. Індустріальна, буд. 1",true,STRONG,translit_cyrillic,"Same address in Shelekhov, Irkutsk region, translated/transliterated. [tw_shtc/ua_nsdc_sanctions]"
same_entity_xds,"55 Hawarden Hill, Brooke Road, London NW2 7BR","55 Hawarden Hill, Brooke Road, London NW2 7BR, UK",true,STRONG,country_omitted,Identical addresses; B adds country only. [us_ofac_sdn/bg_omnio_poi]
same_entity_xds,"No 18 Iranian Building, 14th Alley, Ahmad Qassir Street, Argentina Square, Tehran Iran","Tehran, No. 18, Iranian Building, 14th Alley, Ahmad Qassir Street, Argentina Square",true,STRONG,punctuation_only,"Identical address components, just reordered and punctuated differently. [au_dfat_sanctions/us_ofac_sdn]"
same_entity_xds,"5815 43RD AVE, 1ST FLR, WOODSIDE, NY 11377","5815 43RD AVENUE, 1ST, WOODSIDE, NY 11377",true,STRONG,abbreviation,"Same address, 'AVE'/'AVENUE' and '1ST FLR'/'1ST' are equivalent abbreviations. [us_hhs_exclusions/us_nj_med_exclusions]"
same_entity_xds,"20-22 ZINAS KANTHER, 3035 LIMASSOL","PROTEAS HOUSE, Floor 5, Αρχ. Μακαρίου ΙΙΙ, 155, 3026, Λεμεσός, Κύπρος",false,STRONG,different_street,Different street names and addresses in Limassol. [us_sam_exclusions/ext_cy_companies]
same_entity_xds,"16 Homiakovskaya Str., Homiakovo, Tula","16V UL. KHOMYAKOVSKAYA POS. KHOMYAKOVA, TULA, TULSKAYA OBL., 300098",false,MEDIUM,house_number_differs,House number 16 vs 16V on same street differ. [us_ofac_cons/us_sam_exclusions]
same_entity_xds,"Bolshaya Ordynka St 24, Moscow, Russia, 119017","Російська Федерація, 119017, м. Москва, вул. Велика Ординка, буд. 24",true,STRONG,translit_cyrillic,"Same street, house number, city, postcode; Russian vs Ukrainian transliteration. [ext_gb_coh_psc/ua_nsdc_sanctions]"
same_entity_xds,"Khairkhana Section Nomor 3, Kabul, Afganistan","Khairkhana Section Number 3, Kabul",true,STRONG,abbreviation,"Same location; 'Nomor'/'Number' translation, B omits country name. [id_dttot/fr_tresor_gels_avoir]"
same_entity_xds,"Ave Pedro Melean, cruce con Calle 73, Local No. 22, Sector Santa Rosa, Valencia, Carabobo","Ave Pedro Melean, cruce con Calle 73, Local No. 22, Valencia, Carabobo",true,WEAK,subset,B omits sector name; all other components match exactly. [us_ofac_sdn/us_sam_exclusions]
same_entity_xds,"Unit 503, 5th Floor, Silvercord Tower 2, 30, Canton Road, Tsim Sha Tsui, Kowloon, Hong Kong","Unit 503, 5th Floor, Silvercord Tower 2, 30, Canton Road, Tsim Sha Tsui, Kowloon, Hong Kong, China",true,STRONG,country_only,Identical address; B just adds country name China. [fr_tresor_gels_avoir/un_sc_sanctions]
same_entity_xds,"Albu Kamal (Al-Bukamal), Syrian Arab Republic","Albu Kamal, SYRIAN ARAB REPUBLIC",true,STRONG,translit_cyrillic,"Same city name, minor spelling variant with parenthetical alternate transliteration. [ua_sfms_blacklist/eu_fsf]"
same_entity_xds,"Tayyiba Markaz, Muridke, Pakistan",Tayyiba Markaz Muridke Punjab Province Pakistan,true,STRONG,same_location,"Same place name with added province detail, no contradiction. [ar_repet/tw_shtc]"
same_entity_xds,"Tayyiba Markaz, Muridke, Pakistan","Tayyiba Markaz, Muridke, Punjab Province, Pakistan",true,STRONG,region_omitted,Same location; B adds province name only. [un_sc_sanctions/au_dfat_sanctions]
same_entity_xds,"17B Butlerova St., room 58/11/2, 117342, Moscow, Konkovo Municipal district, Russian Federation","Российская Федерация, Муниципальный округ Коньково, ул. Бутлерова, д. 17Б, помещ. 58/11/2",true,STRONG,translit_cyrillic,"Same address, translated/transliterated from Russian, matching street, number, and room. [eu_journal_sanctions/ua_nsdc_sanctions]"
same_entity_xds,"Building 8 No. 1098, Chuansha Road, Pudong New Area, Shanghai, China, 201209","Китайська Народна Республіка, м. Шанхай (Chuansha Road, Pudong New Area, Shanghai, China, 201209)",true,WEAK,subset,Same Chuansha Road address; B just omits building/number in translated form. [gb_coh_disqualified/ua_nsdc_sanctions]
same_entity_xds,"7108 CHICAGO AVE S, STE 9, RICHFIELD, MN 55423","MINNEAPOLIS, MN 55408",false,STRONG,different_city,"Richfield vs Minneapolis, different zip codes and cities. [us_mn_med_exclusions/us_sam_exclusions]"
same_entity_xds,"Ul. Staraya Basmannaya D. 19, Str. 12, Kom. 22, Moscow, 105066","Ul. Staraya Basmannaya, D. 19, Str. 12, Kom. 22, Moscow, 105066, Russia.",true,STRONG,punctuation_only,"Same street, building, structure, room and city; only punctuation/country differs. [us_ofac_sdn/au_dfat_sanctions]"
same_entity_xds,"d. 24 korp. LITER A nab. Admirala Lazareva, St. Petersburg, 197110","Російська Федерація, 197110, м. Санкт-Петербург, набережна Адмірала Лазарєва, буд. 24, літер А",true,STRONG,translit_cyrillic,"Same address, house 24 letter A, Admiral Lazarev Embankment, St. Petersburg 197110. [us_ofac_cons/ua_nsdc_sanctions]"
same_entity_xds,"Darul Aman, Kabul",Darul Aman Kabul Afghanistan,true,STRONG,punctuation_only,"Same location, just punctuation and country name added. [ua_sfms_blacklist/za_fic_sanctions]"
same_entity_xds,"Avenue Leninsky, Building 30, Premise IA, Moscow, 11934","ПР-КТ ЛЕНИНСКИЙ Д. 30, Г.МОСКВА, 119334",true,WEAK,subset,"Same street, building number, city; minor postcode digit difference likely typo. [us_ofac_sdn/ext_ru_egrul]"
same_entity_xds,"Street Malaya Pirogovskaya, D. 18, Bldg. 1, Moscow, 119435","УЛ МАЛАЯ ПИРОГОВСКАЯ Д. 18 СТР. 1, Г.МОСКВА, 119435",true,STRONG,translit_cyrillic,"Same street, house, building, city, postcode; just transliteration. [us_ofac_cons/ext_ru_egrul]"
same_entity_xds,"Sofiyskaya street 8, Saint Petersburg, Russian Federation, 192236","УЛ. СОФИЙСКАЯ Д. 6 К. 8 СТР. 1, Г.САНКТ-ПЕТЕРБУРГ, 192236",false,MEDIUM,house_number_differs,"A gives house 8; B gives house 6 with building 8, differing addresses. [ch_seco_sanctions/ext_ru_egrul]"
same_entity_xds,"27-29/1, building 6, Smolenskaya-Sennaya st., Moscow, 119121","YAKIMANKA B. STREET, MOSCOW, 119049",false,STRONG,different_street,Different street names in Moscow: Smolenskaya-Sennaya vs Yakimanka. [us_ofac_cons/us_sam_exclusions]
same_entity_xds,"115 Leningradskaya st., Komsomolsk-on-Amur, 681007","ul. Leningradskaya, d. 115, KOMSOMOLSK-ON-AMUR, KHABAROVSKIY KRAY, 681007, Russia",true,STRONG,translation_format,"Same street, house number, city, and postal code; region/country added. [us_trade_csl/permid]"
same_entity_xds,"UL. CHERNYAKHOVSKOGO D. 16, ET 2 PORN. II KORN 2208, MOSCOW, 125319","Ul. Chernyakhovskogo D. 16, Et 2 Porn. II Korn 2208 Moscow 125319 Russia",true,STRONG,punctuation_only,"Identical address, only formatting and country mention differ. [us_sam_exclusions/tw_shtc]"
same_entity_xds,"Varshavskoe 28A, Moscow, RUSSIAN FEDERATION","Vn.Ter.G. Munitsipal'nyi Okrug Nagornyi, SH Varshavskoye, D. 28A, Etazh/Ofis 4/416, MOSCOW, MOSCOW, 117105, Russia",true,WEAK,subset,B adds floor/office detail on same building; A less specific but consistent [eu_fsf/permid]
same_entity_xds,"218 ROUTE 17 NORTH, SUITE 410, ROCHELLE PARK, NJ 07662","218 ROUTE 17 N., SUITE 410, ROCHELLE PARK, NJ 07662",true,STRONG,abbreviation,"Same address, 'North' abbreviated as 'N.' [us_hhs_exclusions/us_nj_med_exclusions]"
same_entity_xds,"Ul. Bol'shaya Semenovskaya, D. 45, MOSCOW, MOSCOW, 107023, Russia","УЛ. БОЛЬШАЯ СЕМЁНОВСКАЯ Д.45, Г.МОСКВА, 107023",true,STRONG,translit_cyrillic,"Same street, house number, city, and postcode; just transliterated. [permid/ext_ru_egrul]"
same_entity_xds,"27 Alvand Avenue, 37th Street, Tehran","Tehran, 90 Fathi Shaghaghi Street, IRAN (ISLAMIC REPUBLIC OF)",false,STRONG,different_street,Different street names and house numbers within Tehran. [gb_fcdo_sanctions/eu_fsf]
same_entity_xds,"Wiedner Hauptstrasse 17, 1040 Vienna","Wiedner Hauptstraße 17, 1040 Wien",true,STRONG,translit_umlaut,"Same street, number, postal code; only German/English spelling differs. [us_ofac_cons/ext_gleif]"
same_entity_xds,"Al Rawdah, Damascus, Syria","Rawda Street, Damas : SYRIE",true,WEAK,subset,"A names general area Al Rawdah; B specifies a street within it, no contradiction. [au_dfat_sanctions/mc_fund_freezes]"
same_entity_xds,Guantanamo Bay detention center,"Pamokolan RT 2/RW 4, Desa Sukamanah, Kecamatan Karangtengah, Cianjur, Jawa Barat",false,STRONG,different_city,Completely unrelated locations in different countries. [us_ofac_sdn/id_dttot]
same_entity_xds,"301 E Central, Springfield, MO 65802","Missouri, Missouri, United States",true,WEAK,subset,"B only gives state, consistent with more specific A. [ext_gleif/gem_energy_ownership]"
same_entity_xds,"Brzeska 97, lok. 211, 08-110 Siedlce","ul. Brzeska 97/211, 08-110 Siedlce,",true,STRONG,punctuation_only,"Same street, number, unit, and postal code; formatting differs. [us_ofac_sdn/pl_mswia_sanctions]"
same_entity_xds,"Association biélorusse des vétérans des forces spéciales du ministère de l’intérieur “Honneur”, rue Mayakovskogo 111, 220028 Minsk, Biélorussie","BELARUS, 220028 Minsk, Belarusian Association of Veterans of Special Forces of the Ministry of Internal Affairs ‘Honour’, 111 Mayakovskogo St.",true,STRONG,translation_cjk,"Same organization, address, and city; only language differs. [mc_fund_freezes/eu_travel_bans]"
same_entity_xds,"Pashtunabad, Quetta, Baluchistan Province, Pakistan",Pashtunabad Quetta Pakistan,true,STRONG,punctuation_only,"Same locality, B omits province but no conflict. [au_dfat_sanctions/tw_shtc]"
same_entity_xds,"Pule Mahmood Khan, PD2, 10011, Kabul,","Pule Mahmood Khan, PD2, 10011, Kabul, Afghanistan",true,STRONG,country_only_diff,B just adds country name; all other components identical. [jp_mof_sanctions/un_sc_sanctions]
same_entity_xds,"68 Hezuo Road, Shijiazhuang City, CHINA","68 Hezuo Road, Xinhua District, Shijiazhuang City, Hebei province, People’s Republic of China",true,WEAK,subset,Same street address; B adds district/province details without conflict. [eu_fsf/ua_nsdc_sanctions]
same_entity_xds,"ELIASOVA 964/24, 16000 PRAGUE","Eliášova 964/24, Bubeneč, 16000 Praha 6",true,WEAK,subset,"Same street, number, and postal code; extra district/borough detail added. [us_sam_exclusions/ext_cz_business_register]"
