"value","original_value","count"
"hk","Q1054923",176
"ly","Q1016",170
"bf","Q965",168
"do","Q786",167
"kg","Q813",162
"fj","Q712",162
"sv","Q792",162
"cf","Q929",161
"bt","Q917",149
"yucs","Q36704",146
"sl","Q1044",145
"py","Q733",141
"gb-wls","Q25",137
"uz","Q265",136
"to","Q678",130
"mc","Q235",129
"mr","Q1025",128
"ad","Q228",125
"gw","Q1007",124
"mv","Q826",122
"bw","Q963",122
"pa","Q804",119
"bi","Q967",117
"qa","Q846",115
"sb","Q685",113
"xk","Q1246",109
"ni","Q811",108
"it","Q172579",108
"mu","Q1027",108
"nr","Q697",106
"lr","Q1014",104
"vu","Q686",102
"st","Q1039",100
"ls","Q1013",99
"gy","Q734",96
"bs","Q778",92
"lc","Q760",90
"gi","Q1410",86
"bn","Q921",82
"dm","Q784",77
"er","Q986",76
"tm","Q874",73
"ag","Q781",71
"cv","Q1011",71
"dk","Q35",71
"sc","Q1042",69
"om","Q842",69
"qa","QA",68
"fm","Q702",66
"sz","Q1050",66
"km","Q970",66
"dj","Q977",65
"bb","Q244",63
"ki","Q710",63
"pw","Q695",62
"ws","Q683",60
"tj","Q863",59
"ge-ab","Q31354462",59
"md-pmr","Q907112",58
"kn","Q763",58
"mh","Q709",58
"pr","Q1183",57
"la","Q819",54
"cy-trnc","Q23681",54
"vc","Q757",53
"tv","Q672",48
"va","Q237",46
"nu","Q34020",45
"ru","Q186096",43
"gd","Q769",43
"ua-dpr","Q16150196",42
"gb-sct","Q22",37
"gb","Q174193",34
"x-so","Q23427",32
"eg","Q124943",32
"ir","Q107258515",29
"ru","Q34266",28
"pl","Q211274",27
"cn","Q29520",27
"qa","QAT",26
"gb","Q21",26
"ua-lpr","Q16746854",26
"so-som","Q34754",24
"pt","Q45670",24
"sy","Q146885",24
"az-nk","Q244165",23
"ky","Q5785",22
"ck","Q26988",21
"je","Q785",20
"suhh","Q2895",20
"by","Q2895",19
"eu","Q458",17
"eh","Q40362",16
"gl","Q223",15
"br","Q2088324",15
"vg","Q25305",15
"jp","Q188712",14
"bm","Q23635",14
"iq","Q3108185",13
"suhh","Q133356",13
"ua","Q133356",13
"yucs","Q838261",12
"yucs","Q191077",12
"fo","Q4628",11
"vn","Q180573",11
"af","Q1138904",10
"mo","Q14773",10
"suhh","Q243610",9
"ua","Q243610",8
"de","Q713750",8
"eg","Q3087763",8
"ms","Q13353",8
"ru","Q210036",8
"suhh","Q2305208",8
"ru","Q2305208",7
"ge","Q245160",7
"qa","Qatari",7
"am","Q132856",6
"im","Q9676",6
"ae","Q1852345",6
"ge-ab","Q23334",6
"af","Q30747910",6
"in","Q6744020",5
"bg","Q121932",5
"ca","Quebec",5
"sy","Q131404661",4
"cn-xz","Q17252",4
"suhh","Q131337",4
"aw","Q21203",4
"sy","Q26234937",4
"bz","Q1643555",4
"us","Q14708404",4
"gb","Q161885",4
"cn-xz","Q2444884",4
"gb","Q5613380",4
"mt","Q6744657",4
"de","Q7318",4
"suhh","Q130229",3
"ru","Q5187",3
"ai","Q25228",3
"mn","Q212056",3
"kr","Q18097",3
"suhh","Q132856",3
"sy","Q146880",3
"tc","Q18221",3
"id","Q4648",3
"gr","Q209065",3
"gg","Q25230",3
"af","Q427941",3
"ge","Q130229",3
"ua-cri","Q15925436",3
"gb","Q179876",3
"fr","Q70972",3
"yucs","Q1290149",3
"cshh","Q853348",3
"zr","Q6500954",3
"zw","Q217169",3
"in","Q1193",2
"bh","Q96204511",2
"ye","Q199841",2
"pk","Q200130",2
"ng","Q503936",2
"suhh","Q199707",2
"us","Q6940348",2
"ye","Q267584",2
"cw","Q25279",2
"pn","Q35672",2
"ua","Q12163800",2
"mx","Q1245540",2
"al","Q467864",2
"th","Q1081620",2
"ye","Q580188",2
"fk","Q9648",2
"so-som","Q662653",2
"br","Q217230",2
"sk","Q154401",2
"hr","Q211853",2
"eh","Q6250",2
"bq","Q25528",1
"td","Q100249941",1
"ie","Q22890",1
"ie","Q215530",1
"ie","Q1140152",1
"az","Q206411",1
"de","Q159631",1
"gn","Q797433",1
"cm","Q1028848",1
"af","Q476757",1
"ng","Q811142",1
"cy","Q15240466",1
"nl","Q6581823",1
"ua","Q1508143",1
"qa","qa",1
"ba","Q208545",1
"pt","Q104472514",1
"gb","Q4970586",1
"za","Q550374",1
"ba","Q16761250",1
"py","Q1093471",1
"us","Q1783171",1
"fr","Q71084",1
"us","Q5103726",1
"us","Quincy, California, USA",1
"us","Quincy, Illinois, USA",1
"fr","Q70802",1
"uz","Q484578",1
"fr","Q22011067",1
"ba","Q1274468",1
"om","Q157734",1
"vn","Q172640",1
"es","Q13474305",1
"eg","Q11768",1
"ec","Quito, Ecuador",1
"ru","Q2184",1
"zw","Q890120",1
"ng","Q320852",1
"do","Q34820",1
"ru","Q5481",1
"ng","Q387745",1
"sa","Q5806",1
"my","Q1479726",1
"sb","Q13410267",1
"ng","Q464953",1
"mr","Q309272",1
"xk","Q2631403",1
"de","Q980",1
"sh","Q192184",1
"mk","Q83958",1
"mk","Q240592",1
"lv","Q192180",1
"ly","Q284568",1
"kz","Q168811",1
"kp","Q705044",1
"ir","Qom, Iran (Islamic Republic of)",1
"iq-kr","Q41470",1
"pl","Q221457",1
"ru","Q139319",1
"in","Q266923",1
"suhh","Q168811",1
"suhh","Q192180",1
"suhh","Q2184",1
"ro","Q842794",1
"in","Q167639",1
"suhh","Q484578",1
"in","Q1061",1
"sx","Q26273",1
"ro","Q191071",1
"sy","Q146562",1
"ng","Q49277476",1
"qa","Qatar-",1
"bq","Q25396",1
